Year,1992,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,
Races,South Africa,Mexico,Brazil,Spain,San Marino,Monaco,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Portugal,Japan,Australia
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Michele ALBORETO,10,13,6,5,5,7,7,7,7,9,7,ab,7,6,15,ab
Jean ALESI,ab,ab,4,3,ab,ab,3,ab,ab,5,ab,ab,ab,ab,5,4
Giovanna AMATI,nq,nq,nq,-,-,-,-,-,-,-,-,-,-,-,-,-
Julian BAILEY,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-
Paul BELMONDO,nq,nq,nq,12,13,nq,14,nq,nq,13,9,-,-,-,-,-
Gerhard BERGER,5,4,ab,4,ab,ab,1,ab,5,ab,3,ab,4,2,2,1
Enrico BERTAGGIA,exc,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thierry BOUTSEN,ab,10,ab,ab,ab,12,10,ab,10,7,ab,ab,ab,8,ab,5
Martin BRUNDLE,ab,ab,ab,ab,4,5,ab,3,3,4,5,4,2,4,3,3
Alex CAFFI,exc,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ivan CAPELLI,ab,ab,5,10,ab,ab,ab,ab,9,ab,6,ab,ab,ab,-,-
Andrea CHIESA,nq,ab,nq,ab,nq,nq,nq,ab,nq,nq,-,-,-,-,-,-
Erik COMAS,7,9,ab,ab,9,10,6,5,8,6,ab,nq,ab,ab,ab,ab
Andrea De CESARIS,ab,5,ab,ab,14,ab,5,ab,ab,ab,8,8,6,9,4,ab
Christian FITTIPALDI,ab,ab,ab,11,ab,8,13,nq,-,-,-,nq,nq,12,6,9
Bertrand GACHOT,ab,11,ab,ab,ab,6,dsq,ab,ab,14,ab,18,ab,ab,ab,ab
Olivier GROUILLARD,ab,ab,ab,ab,8,ab,12,11,11,ab,ab,ab,ab,ab,ab,ab
Mauricio GUGELMIN,11,ab,ab,ab,7,ab,ab,ab,ab,15,10,14,ab,ab,ab,ab
Mika HAKKINEN,9,6,10,ab,nq,ab,ab,4,6,ab,4,6,ab,5,ab,7
Johnny HERBERT,6,7,ab,ab,ab,ab,ab,6,ab,ab,ab,13,ab,ab,ab,13
Damon HILL,-,-,-,nq,nq,nq,nq,nq,16,nq,11,-,-,-,-,-
Ukyo KATAYAMA,12,12,9,nq,ab,npq,ab,ab,ab,ab,ab,17,9,ab,11,ab
Jan LAMMERS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,12
Nicola LARINI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11
JJ LEHTO,ab,8,8,ab,11,9,9,9,13,10,nq,7,11,ab,9,ab
Nigel MANSELL,1,1,1,1,1,2,ab,1,1,1,2,2,ab,1,ab,ab
Pierluigi MARTINI,ab,ab,ab,6,6,ab,8,10,15,11,ab,ab,8,ab,10,ab
Perry McCARTHY,-,-,exc,npq,npq,npq,npq,f,npq,exc,npq,nq,-,-,-,-
Stefano MODENA,nq,ab,ab,nq,ab,ab,ab,ab,ab,nq,ab,15,nq,13,7,6
Gianni MORBIDELLI,ab,ab,7,ab,ab,ab,11,8,17,12,nq,16,ab,14,14,10
Roberto MORENO,-,-,npq,npq,npq,ab,npq,f,npq,npq,nq,nq,-,-,-,-
Emanuele NASPETTI,-,-,-,-,-,-,-,-,-,-,-,12,ab,11,13,ab
Riccardo PATRESE,2,2,2,ab,2,3,ab,2,2,8,ab,3,5,ab,1,ab
Michael SCHUMACHER,4,3,3,2,ab,4,2,ab,4,3,ab,1,3,7,ab,2
Ayrton SENNA,3,ab,ab,9,3,1,ab,ab,ab,2,1,5,1,3,ab,ab
Aguri SUZUKI,8,nq,ab,7,10,11,nq,ab,12,ab,ab,9,ab,10,8,8
Gabriele TARQUINI,ab,ab,ab,ab,ab,ab,ab,ab,14,ab,ab,ab,ab,-,-,-
Eric van de POELE,13,nq,nq,nq,nq,nq,nq,nq,nq,nq,ab,10,ab,-,-,-
Karl WENDLINGER,ab,ab,ab,8,12,ab,4,ab,ab,16,ab,11,10,ab,-,-
Alessandro ZANARDI,-,-,-,-,-,-,-,-,nq,ab,nq,-,-,-,-,-
