Year,2021,,,,,,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,,,,,,
Sprint Points,3,2,1,,,,,,,,,,,,,,,,,,,,,,
Races,Bahrain,Emilia-Romagna,Portugal,Spain,Monaco,Azerbaijan,France,Styria,Austria,SPRINT Great Britain,Great Britain,Hungary,Belgium,Netherlands,SPRINT Italy,Italy,Russia,Turkey,USA,Mexico,SPRINT Brazil,Brazil,Qatar,Saudi Arabia,Abu Dhabi
Half Points,,,,,,,,,,,,,YES,,,,,,,,,,,,
Fastest Lap Point,Valtteri BOTTAS,Lewis HAMILTON,Valtteri BOTTAS,Max VERSTAPPEN,Lewis HAMILTON,,Max VERSTAPPEN,Lewis HAMILTON,Max VERSTAPPEN,,,Pierre GASLY,,Lewis HAMILTON,,Daniel RICCIARDO,Lando NORRIS,Valtteri BOTTAS,Lewis HAMILTON,,,Sergio PEREZ,Max VERSTAPPEN,Lewis HAMILTON,Max VERSTAPPEN
,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,ab,10,8,17,13,6,8,9,10,7,7,4,11,6,11,8,6,16,ab,9,12,9,3,13,8
Valtteri BOTTAS,3,ab,3,3,ab,12,4,3,2,3,3,ab,12,3,1,3,5,1,6,15,1,3,ab,3,6
Pierre GASLY,17,7,10,10,6,3,7,ab,9,12,11,5,6,4,20,ab,13,6,ab,4,8,7,11,6,5
Antonio GIOVINAZZI,12,14,12,15,10,11,15,15,14,15,13,13,13,14,8,13,16,11,11,11,13,14,15,9,ab
Lewis HAMILTON,1,2,1,1,7,15,2,2,4,2,1,2,3,2,5,ab,1,5,2,2,5,1,1,1,2
Robert KUBICA,-,-,-,t,-,-,-,t,-,-,-,t,-,15,18,14,-,-,-,-,-,-,-,-,-
Nicholas LATIFI,18,ab,18,16,15,16,18,17,16,17,14,7,9,16,14,11,19,17,15,17,16,16,ab,12,ab
Charles LECLERC,6,4,6,4,np,4,16,7,8,4,2,ab,8,5,6,4,15,4,4,5,7,5,8,7,10
Nikita MAZEPIN,ab,17,19,19,17,14,20,18,19,19,17,ab,17,ab,17,ab,18,20,17,18,20,17,18,ab,np
Lando NORRIS,4,3,5,8,3,5,5,5,3,5,4,ab,14,10,4,2,7,7,8,10,6,10,9,10,7
Esteban OCON,13,9,7,9,9,ab,14,14,ab,10,9,1,7,9,13,10,14,10,ab,13,9,8,5,4,9
Sergio PEREZ,5,11,4,5,4,1,3,4,6,20,16,ab,19,8,9,5,9,3,3,3,4,4,4,ab,15
Kimi RAIKKONEN,11,13,ab,12,11,10,17,11,15,13,15,10,18,f,-,-,8,12,13,8,18,12,14,15,ab
Daniel RICCIARDO,7,6,9,6,12,9,6,13,7,6,5,11,4,11,3,1,4,13,5,12,11,ab,12,5,12
George RUSSELL,14,ab,16,14,14,17,12,ab,11,9,12,8,2,17,15,9,10,15,14,16,17,13,17,ab,ab
Carlos SAINZ,8,5,11,7,2,8,11,6,5,11,6,3,10,7,7,6,3,8,7,6,3,6,7,8,3
Mick SCHUMACHER,16,16,17,18,18,13,19,16,18,18,18,12,16,18,19,15,ab,19,16,ab,19,18,16,ab,14
Lance STROLL,10,8,14,11,8,ab,10,8,13,14,8,ab,20,12,10,7,11,9,12,14,14,ab,6,11,13
Yuki TSUNODA,9,12,15,ab,16,7,13,10,12,16,10,6,15,ab,16,np,17,14,9,ab,15,15,13,14,4
Max VERSTAPPEN,2,1,2,2,1,18,1,1,1,1,ab,9,1,1,2,ab,2,2,1,1,2,2,2,2,1
Sebastian VETTEL,15,15,13,13,5,2,9,12,17,8,ab,dsq,5,13,12,12,12,18,10,7,10,11,10,ab,11
