Year,2002,,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,,
Races,Australia,Malaysia,Brazil,San Marino,Spain,Austria,Monaco,Canada,Europe,Great Britain,France,Germany,Hungary,Belgium,Italy,USA,Japan
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rubens BARRICHELLO,ab,ab,ab,2,np,2,7,3,1,2,np,4,1,2,1,1,2
Enrique BERNOLDI,dsq,ab,ab,ab,ab,ab,12,ab,10,ab,nq,ab,-,f,-,-,-
Jenson BUTTON,ab,4,4,5,12,7,ab,15,5,12,6,ab,ab,ab,5,8,6
David COULTHARD,ab,ab,3,6,3,6,1,2,ab,10,3,5,5,4,7,3,ab
Anthony DAVIDSON,-,-,-,-,-,-,-,-,-,-,-,-,ab,ab,-,-,-
Pedro de la ROSA,8,10,8,ab,ab,ab,10,ab,11,11,9,ab,13,ab,ab,ab,ab
Giancarlo FISICHELLA,ab,13,ab,ab,ab,5,5,5,ab,7,f,ab,6,ab,8,7,ab
Heinz-Harald FRENTZEN,dsq,11,ab,ab,6,11,6,13,13,ab,nq,ab,-,f,-,13,-
Nick HEIDFELD,ab,5,ab,10,4,ab,8,12,7,6,7,6,9,10,10,9,7
Eddie IRVINE,4,ab,7,ab,ab,ab,9,ab,ab,ab,ab,ab,ab,6,3,10,9
Felipe MASSA,ab,6,ab,8,5,ab,ab,9,6,9,ab,7,7,ab,ab,-,ab
Allan McNISH,ab,7,ab,ab,8,9,ab,ab,14,ab,11,ab,14,9,ab,15,np
Juan-Pablo MONTOYA,2,2,5,4,2,3,ab,ab,ab,3,4,2,11,3,ab,4,4
Olivier PANIS,ab,ab,ab,ab,ab,ab,ab,8,9,5,ab,ab,12,12,6,12,ab
Kimi RAIKKONEN,3,ab,12,ab,ab,ab,ab,4,3,ab,2,ab,4,ab,ab,ab,3
Mika SALO,6,12,6,ab,9,8,ab,ab,ab,ab,ab,9,15,7,11,14,8
Takuma SATO,ab,9,9,ab,ab,ab,ab,10,16,ab,ab,8,10,11,12,11,5
Michael SCHUMACHER,1,3,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1
Ralf SCHUMACHER,ab,1,2,3,11,4,3,7,4,8,5,3,3,5,ab,16,11
Jarno TRULLI,ab,ab,ab,9,10,ab,4,6,8,ab,ab,ab,8,ab,4,5,ab
Jacques VILLENEUVE,ab,8,10,7,7,10,ab,ab,12,4,ab,ab,ab,8,9,6,ab
Mark WEBBER,5,ab,11,11,f,12,11,11,15,ab,8,ab,16,ab,ab,ab,10
Alex YOONG,7,ab,13,nq,f,ab,ab,14,ab,nq,10,nq,-,-,13,ab,ab
