Year,2017,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,
Races,Australia,China,Bahrain,Russia,Spain,Monaco,Canada,Azerbaijan,Austria,Great Britain,Hungary,Belgium,Italy,Singapore,Malaysia,Japan,USA,Mexico,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,ab,ab,14,np,12,-,16,9,ab,ab,6,ab,17,ab,11,11,ab,10,8,9
Valtteri BOTTAS,3,6,3,1,ab,4,2,2,1,2,3,5,2,3,5,4,5,2,2,1
Jenson BUTTON,-,-,-,-,-,ab,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marcus ERICSSON,ab,15,ab,15,11,ab,13,11,15,14,16,16,18,ab,18,ab,15,ab,13,17
Pierre GASLY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,13,-,13,12,16
Antonio GIOVINAZZI,12,ab,-,-,-,-,-,-,-,t,t,-,-,t,t,-,-,t,t,t
Romain GROSJEAN,ab,11,8,ab,10,8,10,13,6,13,ab,7,15,9,13,9,14,15,15,11
Lewis HAMILTON,2,1,2,4,1,7,1,5,4,1,4,1,1,1,2,1,1,9,4,2
Brendon HARTLEY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,ab,ab,15
Nico HULKENBERG,11,12,9,8,6,ab,8,ab,13,6,17,6,13,ab,16,ab,ab,ab,10,6
Daniil KVYAT,9,ab,12,12,9,14,ab,ab,16,15,11,12,12,ab,-,-,10,-,-,-
Kevin MAGNUSSEN,ab,8,ab,13,14,10,12,7,ab,12,13,15,11,ab,12,8,16,8,ab,13
Felipe MASSA,6,14,6,9,13,9,ab,ab,9,10,f,8,8,11,9,10,9,11,7,10
Esteban OCON,10,10,10,7,5,12,6,6,8,8,9,9,6,10,10,6,6,5,ab,8
Jolyon PALMER,ab,13,13,ab,15,11,11,ab,11,np,12,13,ab,6,15,12,-,-,-,-
Sergio PEREZ,7,9,7,6,4,13,5,ab,7,9,8,17,9,5,6,7,8,7,9,7
Kimi RAIKKONEN,4,5,4,3,ab,2,7,14,5,3,2,4,5,ab,np,5,3,3,3,4
Daniel RICCIARDO,ab,4,5,ab,3,3,3,1,3,5,ab,3,4,2,3,3,ab,ab,6,ab
Carlos SAINZ,8,7,ab,10,7,6,ab,8,ab,ab,7,10,14,4,ab,ab,7,ab,11,ab
Lance STROLL,ab,ab,ab,11,16,15,9,3,10,16,14,11,7,8,8,ab,11,6,16,18
Stoffel VANDOORNE,13,ab,np,14,ab,ab,14,12,12,11,10,14,ab,7,7,14,12,12,ab,12
Max VERSTAPPEN,5,3,ab,5,ab,5,ab,ab,ab,4,5,ab,10,ab,1,2,4,1,5,5
Sebastian VETTEL,1,2,1,2,2,1,4,4,2,7,1,2,3,ab,4,ab,2,4,1,3
Pascal WEHRLEIN,f,-,11,16,8,ab,15,10,14,17,15,ab,16,12,17,15,ab,14,14,14
